epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1323.96,1.81457,2.70765,1.47719,0.97409,0.24569,0.74312,0.37323,1.586,3.38986,1.40959,0.000546086,0.000546086,0.000546086
2,2469.29,1.48856,1.60332,1.28013,0.94672,0.92484,0.98336,0.5263,1.5173,1.70753,1.354,0.000965411,0.000965411,0.000965411
3,3471.13,1.4503,1.3236,1.26581,0.95493,0.96948,0.98278,0.55462,1.41096,1.33351,1.34013,0.00124721,0.00124721,0.00124721
4,4422.97,1.424,1.16025,1.256,0.96092,0.96422,0.98362,0.5756,1.45145,1.24945,1.32768,0.00104813,0.00104813,0.00104813
5,5459.77,1.37109,0.99875,1.2352,0.98623,0.9902,0.99412,0.611,1.34849,0.92193,1.25639,0.000841835,0.000841835,0.000841835
6,6381.35,1.35856,0.91307,1.21239,0.99621,0.98693,0.99477,0.59318,1.38698,0.86314,1.28497,0.000635544,0.000635544,0.000635544
7,8802.9,1.33799,0.85735,1.20359,0.99014,0.9849,0.9944,0.60594,1.37762,0.79552,1.28626,0.000429253,0.000429253,0.000429253
8,10159,1.30188,0.79855,1.19339,0.99354,0.9902,0.99497,0.61778,1.34061,0.7612,1.24919,0.000222961,0.000222961,0.000222961
