epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,915.248,1.78368,2.76952,1.49909,0.94488,0.33615,0.76595,0.40382,1.38861,3.21642,1.17168,0.000546086,0.000546086,0.000546086
2,1833.81,1.42235,1.50549,1.25223,0.84003,0.78941,0.8952,0.54413,1.36863,2.14509,1.26533,0.000738174,0.000738174,0.000738174
3,2887.57,1.38218,1.26251,1.22387,0.9903,0.97059,0.99423,0.60831,1.37269,1.25613,1.25707,0.000563523,0.000563523,0.000563523
